method,url_path,source_file,requires_auth,auth_mechanism,accepts_untrusted_input,validates_input,writes_data,calls_stripe_or_supabase
POST,/api/program-holder/notifications/:/mark-read,app/api/program-holder/notifications/[id]/mark-read/route.ts,yes,getUser,no,no,yes,yes
POST,/api/program-holder/reports/submit,app/api/program-holder/reports/submit/route.ts,yes,getUser,yes,no,yes,yes
POST,/api/program-holder/sign-mou,app/api/program-holder/sign-mou/route.ts,yes,apiAuthGuard,no,no,no,no
POST,/api/program-holder/students/accept,app/api/program-holder/students/accept/route.ts,yes,getUser,yes,no,yes,yes
POST,/api/program-holder/students/decline,app/api/program-holder/students/decline/route.ts,yes,getUser,yes,no,yes,yes
POST,/api/program-holders/acknowledgement,app/api/program-holders/acknowledgement/route.ts,yes,apiAuthGuard,yes,no,yes,yes
POST,/api/program-owner/campaigns/send,app/api/program-owner/campaigns/send/route.ts,yes,getUser,yes,no,no,yes
POST,/api/programs/barber-apprenticeship/apply,app/api/programs/barber-apprenticeship/apply/route.ts,no,NONE,yes,yes,yes,yes
POST,/api/programs/checkout,app/api/programs/checkout/route.ts,yes,apiAuthGuard,no,no,no,no
POST,/api/promo-codes/validate,app/api/promo-codes/validate/route.ts,no,NONE,yes,yes,no,yes
POST,/api/push/send,app/api/push/send/route.ts,no,NONE,yes,no,yes,yes
POST,/api/push/subscribe,app/api/push/subscribe/route.ts,yes,getUser,yes,no,yes,yes
POST,/api/push/unsubscribe,app/api/push/unsubscribe/route.ts,yes,getUser,yes,no,yes,yes
POST,/api/pwa/barber/log-hours,app/api/pwa/barber/log-hours/route.ts,yes,getUser,yes,no,yes,yes
POST,/api/pwa/shop-owner/approve-hours,app/api/pwa/shop-owner/approve-hours/route.ts,yes,getUser,yes,no,yes,yes
POST,/api/pwa/shop-owner/log-hours,app/api/pwa/shop-owner/log-hours/route.ts,yes,getUser,yes,no,yes,yes
POST,/api/quizzes/save,app/api/quizzes/save/route.ts,yes,getUser,yes,yes,yes,yes
POST,/api/r2/upload,app/api/r2/upload/route.ts,yes,getUser,yes,no,no,yes
POST,/api/rapids/safe-update,app/api/rapids/safe-update/route.ts,yes,apiRequireAdmin,yes,yes,yes,yes
POST,/api/recaps/action-items/:/toggle,app/api/recaps/action-items/[itemId]/toggle/route.ts,yes,getUser,no,no,yes,yes
POST,/api/recaps/generate,app/api/recaps/generate/route.ts,yes,getUser,yes,yes,yes,yes
POST,/api/receptionist,app/api/receptionist/route.ts,no,NONE,yes,no,no,no
POST,/api/reports/export,app/api/reports/export/route.ts,yes,getUser,yes,no,no,yes
POST,/api/reports/run,app/api/reports/run/route.ts,yes,getUser,yes,no,yes,yes
POST,/api/reviews/:/respond,app/api/reviews/[id]/respond/route.ts,yes,getUser,yes,no,yes,yes
POST,/api/scorm/upload,app/api/scorm/upload/route.ts,yes,getUser,yes,no,yes,yes
POST,/api/security/log,app/api/security/log/route.ts,yes,apiAuthGuard,yes,no,yes,yes
POST,/api/security/scan-event,app/api/security/scan-event/route.ts,yes,api_key_check,yes,no,yes,yes
POST,/api/sezzle/virtual-card/capture,app/api/sezzle/virtual-card/capture/route.ts,no,NONE,yes,no,yes,yes
POST,/api/sezzle/virtual-card/process,app/api/sezzle/virtual-card/process/route.ts,yes,apiAuthGuard,yes,no,yes,yes
POST,/api/sezzle/webhook,app/api/sezzle/webhook/route.ts,yes,webhook_sig,yes,yes,yes,yes
POST,/api/shop/apply,app/api/shop/apply/route.ts,no,NONE,yes,no,yes,yes
POST,/api/shop/documents/upload,app/api/shop/documents/upload/route.ts,yes,getUser,yes,no,yes,yes
POST,/api/shop/reports,app/api/shop/reports/route.ts,yes,getUser,yes,no,yes,yes
POST,/api/signature/documents,app/api/signature/documents/route.ts,yes,getUser,yes,no,yes,yes
POST,/api/signature/documents/:/sign,app/api/signature/documents/[id]/sign/route.ts,yes,apiAuthGuard,yes,no,yes,yes
POST,/api/social-media/generate,app/api/social-media/generate/route.ts,yes,apiRequireAdmin,yes,yes,no,yes
POST,/api/staff/campaigns/send,app/api/staff/campaigns/send/route.ts,yes,getUser,yes,no,no,yes
POST,/api/staff/customer-service/tickets,app/api/staff/customer-service/tickets/route.ts,yes,getUser,yes,no,yes,yes
POST,/api/staff/enroll-student,app/api/staff/enroll-student/route.ts,yes,getUser,yes,no,yes,yes
POST,/api/store/cart-checkout,app/api/store/cart-checkout/route.ts,yes,getUser,yes,no,no,yes
POST,/api/store/checkout,app/api/store/checkout/route.ts,no,NONE,yes,yes,yes,yes
POST,/api/store/clone,app/api/store/clone/route.ts,yes,apiAuthGuard,yes,no,no,yes
POST,/api/store/clone-codebase,app/api/store/clone-codebase/route.ts,yes,apiAuthGuard,yes,no,yes,yes
POST,/api/store/create-payment-intent,app/api/store/create-payment-intent/route.ts,yes,apiAuthGuard,yes,no,no,yes
POST,/api/store/create-product,app/api/store/create-product/route.ts,yes,apiRequireAdmin,yes,no,yes,yes
POST,/api/store/customer-portal,app/api/store/customer-portal/route.ts,yes,apiAuthGuard,yes,no,no,yes
POST,/api/store/license/generate,app/api/store/license/generate/route.ts,yes,getUser,yes,no,yes,yes
POST,/api/store/license/validate,app/api/store/license/validate/route.ts,no,NONE,yes,yes,yes,yes
POST,/api/store/licenses/create-payment-intent,app/api/store/licenses/create-payment-intent/route.ts,yes,apiAuthGuard,yes,no,yes,yes
POST,/api/store/licenses/webhook,app/api/store/licenses/webhook/route.ts,no,NONE,yes,no,no,yes
POST,/api/store/publish,app/api/store/publish/route.ts,yes,getUser,yes,no,yes,yes
